# Name	Latitude	Longitude	X (meters)	Y (meters)	Used in LWA-352?
LWA-332	37.246909068	-118.282503700	-74.26	791.51	YES
LWA-333	37.241167687	-118.277240734	392.71	154.31	YES
LWA-334	37.243378781	-118.277626195	358.50	399.71	YES
LWA-335	37.238955511	-118.291988500	-915.88	-91.20	YES
LWA-336	37.241247132	-118.289977600	-737.42	163.13	YES
LWA-337	37.240805144	-118.285672241	-355.41	114.08	YES
LWA-338	37.243123947	-118.282615037	-84.14	371.42	YES
LWA-339	37.246824234	-118.283938200	-201.53	782.09	YES
LWA-340	37.245554689	-118.285776418	-364.63	641.20	YES
LWA-341	37.233070079	-118.294085998	-1102.08	-744.39	YES
LWA-342	37.236796317	-118.291292034	-854.10	-330.84	YES
LWA-343	37.241869658	-118.286520600	-430.68	232.22	YES
LWA-344	37.239894585	-118.288107500	-571.50	13.02	YES
LWA-345	37.238302146	-118.282087895	-37.37	-163.71	YES
LWA-346	37.240588474	-118.283236200	-139.26	90.03	YES
LWA-347	37.236567372	-118.294572072	-1145.16	-356.24	YES
LWA-348	37.238917728	-118.295437165	-1221.88	-95.39	YES
LWA-349	37.245059686	-118.290919947	-821.00	586.26	YES
LWA-350	37.246613849	-118.289339629	-680.77	758.75	YES
LWA-351	37.242281522	-118.291176800	-843.82	277.93	YES
LWA-352	37.243400787	-118.288449327	-601.80	402.15	YES
LWA-353	37.249455038	-118.294839800	-1168.72	1074.07	YES
LWA-354	37.249073449	-118.291799200	-898.96	1031.72	YES
LWA-355	37.236050336	-118.282246257	-51.43	-413.63	YES
LWA-356	37.236064547	-118.280630700	91.93	-412.05	YES
LWA-357	37.237454487	-118.279147000	223.58	-257.79	YES
LWA-358	37.237342758	-118.280451400	107.84	-270.19	YES
LWA-359	37.237091115	-118.281958216	-25.87	-298.12	YES
LWA-360	37.232813696	-118.278184100	309.04	-772.84	YES
LWA-361	37.238416434	-118.280968300	61.97	-151.03	YES
LWA-362	37.234375764	-118.277351172	382.95	-599.48	YES
LWA-363	37.235263345	-118.279398200	201.30	-500.97	YES
LWA-364	37.234641687	-118.281549221	10.42	-569.96	YES
LWA-365	37.231460000	-118.282722000	-93.65	-923.08	YES
